                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.55607,                0.37557,                 1.0168,                0.84232,                0.68188,                0.73962,                0.47888,                 1.4732,                 1.2766,                  1.764,               0.007921,               0.007921,               0.007921
                    107,                0.54807,                 0.3731,                 1.0161,                0.82666,                0.69861,                0.75429,                0.48206,                 1.4808,                 1.1771,                 1.7657,              0.0079012,              0.0079012,              0.0079012
                    108,                 0.5491,                 0.3748,                  1.012,                0.80868,                0.67109,                0.73108,                 0.4723,                 1.4925,                 1.2104,                 1.7694,              0.0078814,              0.0078814,              0.0078814
                    109,                 0.5451,                0.37449,                 1.0177,                0.86883,                 0.6511,                0.73517,                 0.4843,                 1.4824,                 1.2069,                 1.7739,              0.0078616,              0.0078616,              0.0078616
                    110,                0.54626,                 0.3735,                  1.014,                0.82258,                0.66833,                0.72473,                0.47436,                 1.4727,                 1.2669,                 1.7629,              0.0078418,              0.0078418,              0.0078418
                    111,                0.54524,                0.37121,                  1.016,                0.80827,                0.65369,                0.70894,                0.46875,                 1.4701,                 1.3447,                 1.7622,               0.007822,               0.007822,               0.007822
                    112,                0.54578,                0.37008,                 1.0152,                0.80907,                0.66485,                0.72391,                0.48158,                  1.445,                 1.2915,                 1.7592,              0.0078022,              0.0078022,              0.0078022
                    113,                0.54384,                0.36718,                 1.0118,                0.81145,                0.67319,                0.74028,                0.49444,                 1.4277,                 1.2046,                 1.7496,              0.0077824,              0.0077824,              0.0077824
                    114,                0.54518,                0.37079,                 1.0169,                0.87258,                0.68396,                0.75995,                0.50373,                 1.4122,                 1.0724,                 1.7349,              0.0077626,              0.0077626,              0.0077626
                    115,                0.54046,                0.37175,                 1.0141,                0.81523,                0.71852,                0.77264,                0.50253,                 1.4103,                 1.0319,                 1.7413,              0.0077428,              0.0077428,              0.0077428
                    116,                0.53898,                0.36703,                 1.0077,                0.83141,                0.70017,                0.76572,                0.50036,                  1.434,                 1.0762,                 1.7764,               0.007723,               0.007723,               0.007723
                    117,                0.53553,                0.36993,                 1.0105,                0.82884,                0.70844,                0.76054,                0.50381,                 1.4267,                 1.0876,                 1.7537,              0.0077032,              0.0077032,              0.0077032
                    118,                 0.5364,                0.36605,                 1.0051,                0.75938,                 0.7236,                 0.7503,                0.49283,                 1.4299,                 1.1634,                  1.752,              0.0076834,              0.0076834,              0.0076834
                    119,                0.54198,                0.36714,                 1.0111,                0.82337,                0.67012,                0.73537,                0.48236,                 1.4348,                 1.2057,                 1.7447,              0.0076636,              0.0076636,              0.0076636
